Category,Component,Quantity,Source of Materials
Capacitors,United Chemi-Con ESMQ351VSN471MR35S,1,Mouser Electronics
Diodes,5mm Ultra-brilliant LED,2,Grupo Aelectronics de México 
Diodes,1N4007 Standard Rectifier Diode,2,Grupo Aelectronics de México 
Terminals,2-Position 5.08 mm Fixed Terminal Blocks        ,13,Mouser Electronics
Connectors,3-Pin 2.54mm JST-XH Male Right Angle Connector,4,Grupo Aelectronics de México
Connectors,3-Pin 2.54mm JST-XH Female Connector with cables,4,Grupo Aelectronics de México
Jacks,4mm Right Angle Test Banana Jack ,2,Mouser Electronics
Relays,833H-1C-S-5VDC,2,Grupo Aelectronics de México
Breakout Boards,ELEGOO 2.8 Inches TFT Touch Screen With SD Card Socket For Arduino,1,Amazon México
Breakout Boards,DS3231 RTC Module,1,Amazon México
Relays,TLP240GAF MOSFET Output Optocoupler,20,Mouser Electronics
Power Modules,MEAN WELL IRM-10-5,1,Mouser Electronics
Resistors,Bourns PTV09A-4020F-B504,1,Mouser Electronics
Switches,SparkFun COM-08837,1,Mouser Electronics
Fuses,Littelfuse 65600001009,1,Mouser Electronics
Spacers,RAF Electronic Hardware M1274-2545-SS,5,Mouser Electronics
Spacers,Harwin R25-1002502,20,Mouser Electronics
Spacers,Wurth Elektronik 971050154,58,Mouser Electronics
Spacers,Wurth Elektronik 970100154,4,Mouser Electronics
Fuses,Littelfuse 0217.050MXP,1,Mouser Electronics
Resistors,680 Ohm 1/4 Watt 5%,20,Grupo Aelectronics de México
Resistors,1k Ohm 1/4 Watt 5%,6,Amazon México
Resistors,100 Ohm 1/4 Watt 5%,2,Amazon México
Resistors,100k Ohm 1/4 Watt 5%,1,Amazon México
Resistors,10W 10k Ohm 5% Ceramic Cement Power Resistor,1,Grupo Aelectronics de México
Breakout Boards,Mini Amplifier Board PAM8406 DC 5V Digital Stereo Power Amp,1,Amazon México
Transistors,BC547CBU BJT NPN 45V 0.1A,2,Grupo Aelectronics de México
Diodes,Comchip Technology KBPC1010W-G,1,Mouser Electronics
Breakout Boards,Memory IC Development Tools MicroSD Card Breakout Board,1,Mouser Electronics
Development Boards,NodeMCU LUA Wifi ESP8266 V2,1,Amazon México
Development Boards,Arduino MEGA 2560 R3 ,1,Amazon México
Switches,Toptek SWTA6601-B 6X6MM,2,Grupo Aelectronics de México
Sensors,DHT22 (AM2302) Temperature Sensor,1,Grupo Aelectronics de México
Sensors,HC-SR501 PIR Sensor ,3,Amazon México
Connectors,3.5mm Audio Plugs,1,Grupo Aelectronics de México
Other,7.5W Incandescent Clear E12 Bulb,1,Grupo Aelectronics de México
Other,E12 Porcelain Socket,1,Grupo Aelectronics de México